arch,task,model,metric,sampleseed,mean,std,n,t_statistic,p_value,significant,ablation
protmamba,proeng_aav_one_vs_many_mean,protmamba_107M_195B,test_performance_1,sampling_seed-0,0.9652949972702013,0.0008952907521050525,5,-20.46896781339147,1.6821260277812947e-05,True,rand
protmamba,proeng_aav_one_vs_many_mean,protmamba_107M_195B,test_performance_1,sampling_seed-12345,0.965293973975337,0.0008950614970343418,5,-20.476767022232583,1.679584902775435e-05,True,rand
protmamba,proeng_aav_one_vs_many_mean,protmamba_107M_195B,test_performance_1,sampling_seed-42,0.9652946192517063,0.0008959993413713771,5,-20.453723588085516,1.6871067451683265e-05,True,rand
protmamba,proeng_aav_two_vs_many_mean,protmamba_107M_195B,test_performance_1,sampling_seed-0,0.9745468656686901,0.0029796989478324365,5,-1.9764969165247557,0.05963942315511164,False,rand
protmamba,proeng_aav_two_vs_many_mean,protmamba_107M_195B,test_performance_1,sampling_seed-12345,0.9745464026629971,0.0029797844779079893,5,-1.9767876295878504,0.05961958045804624,False,rand
protmamba,proeng_aav_two_vs_many_mean,protmamba_107M_195B,test_performance_1,sampling_seed-42,0.9745478119156834,0.002980662439612513,5,-1.975148152209968,0.0597315778040528,False,rand
protmamba,proeng_gb1_low_vs_high_mean,protmamba_107M_195B,test_performance_1,sampling_seed-0,0.9252992689382704,0.0027623039584308453,5,-12.34878175849445,0.0001235585835041372,True,rand
protmamba,proeng_gb1_low_vs_high_mean,protmamba_107M_195B,test_performance_1,sampling_seed-12345,0.9252992689382704,0.0027623039584308453,5,-12.34878175849445,0.0001235585835041372,True,rand
protmamba,proeng_gb1_low_vs_high_mean,protmamba_107M_195B,test_performance_1,sampling_seed-42,0.9252992689382704,0.0027623039584308453,5,-12.34878175849445,0.0001235585835041372,True,rand
protmamba,proeng_gb1_one_vs_rest_mean,protmamba_107M_195B,test_performance_1,sampling_seed-0,0.8726429206697709,0.006860462751237201,5,10.095752451956272,0.9997291798536566,False,rand
protmamba,proeng_gb1_one_vs_rest_mean,protmamba_107M_195B,test_performance_1,sampling_seed-12345,0.8726429206697709,0.006860462751237201,5,10.095752451956272,0.9997291798536566,False,rand
protmamba,proeng_gb1_one_vs_rest_mean,protmamba_107M_195B,test_performance_1,sampling_seed-42,0.8726429206697709,0.006860462751237201,5,10.095752451956272,0.9997291798536566,False,rand
protmamba,proeng_gb1_two_vs_rest_mean,protmamba_107M_195B,test_performance_1,sampling_seed-0,0.8083364775367915,0.005525163446712394,5,-10.24925907667213,0.00025543490349129623,True,rand
protmamba,proeng_gb1_two_vs_rest_mean,protmamba_107M_195B,test_performance_1,sampling_seed-12345,0.8083364775367915,0.005525163446712394,5,-10.24925907667213,0.00025543490349129623,True,rand
protmamba,proeng_gb1_two_vs_rest_mean,protmamba_107M_195B,test_performance_1,sampling_seed-42,0.8083364775367915,0.005525163446712394,5,-10.24925907667213,0.00025543490349129623,True,rand
protmamba,proeng_thermo_mixed_split_mean,protmamba_107M_195B,test_performance_1,sampling_seed-0,0.9837850860916809,0.000553277257113455,5,-23.75106377019709,9.31695234004166e-06,True,rand
protmamba,proeng_thermo_mixed_split_mean,protmamba_107M_195B,test_performance_1,sampling_seed-12345,0.9837869877389224,0.0006323384124912268,5,-7.815250295093532,0.0007233913159357749,True,rand
protmamba,proeng_thermo_mixed_split_mean,protmamba_107M_195B,test_performance_1,sampling_seed-42,0.9837805939656101,0.0005109182339244375,5,-15.9889394743144,4.4730243998930815e-05,True,rand
protmamba,structure_secondary_structure_tape_ss3_processed_casp12_noflatten,protmamba_107M_195B,test_performance_1,sampling_seed-0,0.6302127250249596,0.002925923149451436,5,-143.25123036056243,7.121750174913688e-09,True,rand
protmamba,structure_secondary_structure_tape_ss3_processed_casp12_noflatten,protmamba_107M_195B,test_performance_1,sampling_seed-12345,0.630313750434745,0.0028782947770435796,5,-145.06967772398542,6.771378763604193e-09,True,rand
protmamba,structure_secondary_structure_tape_ss3_processed_casp12_noflatten,protmamba_107M_195B,test_performance_1,sampling_seed-42,0.6301867088258256,0.002948118676165515,5,-141.8651205846668,7.404144428054222e-09,True,rand
protmamba,structure_secondary_structure_tape_ss3_processed_cb513_noflatten,protmamba_107M_195B,test_performance_1,sampling_seed-0,0.6325440787553858,0.0015798259838424688,5,-295.8366538061598,3.9163387288673553e-10,True,rand
protmamba,structure_secondary_structure_tape_ss3_processed_cb513_noflatten,protmamba_107M_195B,test_performance_1,sampling_seed-12345,0.6325584694182755,0.0015368138874362833,5,-304.0563307545858,3.5097302341186157e-10,True,rand
protmamba,structure_secondary_structure_tape_ss3_processed_cb513_noflatten,protmamba_107M_195B,test_performance_1,sampling_seed-42,0.6325338041892212,0.0015227513068906012,5,-306.92755369212534,3.3802358964774436e-10,True,rand
protmamba,structure_secondary_structure_tape_ss3_processed_ts115_noflatten,protmamba_107M_195B,test_performance_1,sampling_seed-0,0.6378730476745632,0.0020398906882523916,5,-240.2786722681556,8.999330747885577e-10,True,rand
protmamba,structure_secondary_structure_tape_ss3_processed_ts115_noflatten,protmamba_107M_195B,test_performance_1,sampling_seed-12345,0.6378495021955869,0.0021030828897627145,5,-232.31445456517812,1.0298232220589127e-09,True,rand
protmamba,structure_secondary_structure_tape_ss3_processed_ts115_noflatten,protmamba_107M_195B,test_performance_1,sampling_seed-42,0.6379080163514492,0.0020924905901056057,5,-234.19545728307264,9.971364715515114e-10,True,rand
protxlstm,annotation_scl_balanced_mean,protxlstm_102M_60B,test_performance_1,sampling_seed-0,0.7134555840925088,0.01203336749750792,5,-11.004840709014251,0.00019375350504062002,True,rand
protxlstm,annotation_scl_balanced_mean,protxlstm_102M_60B,test_performance_1,sampling_seed-12345,0.7140265479810854,0.011872711562836478,5,-11.670156492613069,0.00015411653781951143,True,rand
protxlstm,annotation_scl_balanced_mean,protxlstm_102M_60B,test_performance_1,sampling_seed-42,0.7136777652405598,0.011920183711193065,5,-11.057231707313525,0.00019020331644000997,True,rand
protxlstm,annotation_scl_balanced_mean,protxlstm_26M_30B,test_performance_1,sampling_seed-0,0.7082472511902503,0.0111962103762836,5,-13.620014070590145,8.413222738062194e-05,True,rand
