arch,task,model,ablation,ptp,max_seq_num,embseed,sampleseed,metric,value
protxlstm,evolution_remote_homology_tape_rh_processed_test-family-holdout_mean,protxlstm_26M_30B,emb,1.0,200,seed-42,sampling_seed-42,test_performance_1,"[0.0, 0.0007861635220125787, 0.0, 0.0031446540880503146, 0.00550314465408805, 0.007075471698113208, 0.0007861635220125787, 0.010220125786163521, 0.0007861635220125787, 0.0, 0.0, 0.013364779874213837, 0.0, 0.0007861635220125787, 0.0007861635220125787, 0.0, 0.0007861635220125787]"
protxlstm,evolution_remote_homology_tape_rh_processed_test-superfamily-holdout_mean,protxlstm_26M_30B,emb,1.0,200,seed-42,sampling_seed-42,test_loss,"[7.092498302459717, 7.111942958831787, 7.134142208099365, 7.118207740783691, 7.124484825134277, 7.098887538909912, 7.112493324279785, 7.138977527618408, 7.134820556640625, 7.166830062866211, 7.121811962127685, 7.125237274169922, 7.1254040718078615, 7.182892894744873, 7.142678737640381, 7.162924194335938, 7.1458104133605955]"
protxlstm,evolution_remote_homology_tape_rh_processed_test-superfamily-holdout_mean,protxlstm_26M_30B,emb,1.0,200,seed-42,sampling_seed-42,test_performance_2,"[0.0, 0.0, 0.0, 0.0, 0.0007974481658692185, 0.0, 0.0, 0.0007974481658692185, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001594896331738437, 0.0]"
protxlstm,evolution_remote_homology_tape_rh_processed_test-superfamily-holdout_mean,protxlstm_26M_30B,emb,1.0,200,seed-42,sampling_seed-42,test_performance_1,"[0.0023923444976076554, 0.003189792663476874, 0.003189792663476874, 0.006379585326953748, 0.0023923444976076554, 0.011164274322169059, 0.0007974481658692185, 0.003987240829346092, 0.0023923444976076554, 0.0007974481658692185, 0.003987240829346092, 0.003987240829346092, 0.004784688995215311, 0.001594896331738437, 0.001594896331738437, 0.003189792663476874, 0.0007974481658692185]"
protxlstm,evolution_remote_homology_tape_rh_processed_test-fold-holdout_mean,protxlstm_26M_30B,emb,1.0,200,seed-42,sampling_seed-42,test_loss,"[7.17078177134196, 7.227889537811279, 7.250209331512451, 7.2977070808410645, 7.277470111846924, 7.229629834493001, 7.248189608256022, 7.209206581115723, 7.260005474090576, 7.230862299601237, 7.243459383646647, 7.212671756744385, 7.2207926114400225, 7.3062388102213545, 7.275494575500488, 7.295202414194743, 7.242990334828694]"
protxlstm,evolution_remote_homology_tape_rh_processed_test-fold-holdout_mean,protxlstm_26M_30B,emb,1.0,200,seed-42,sampling_seed-42,test_performance_2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001392757660167131, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
protxlstm,evolution_remote_homology_tape_rh_processed_test-fold-holdout_mean,protxlstm_26M_30B,emb,1.0,200,seed-42,sampling_seed-42,test_performance_1,"[0.0, 0.0, 0.0, 0.001392757660167131, 0.0, 0.001392757660167131, 0.0, 0.0, 0.0, 0.0, 0.0, 0.005571030640668524, 0.0, 0.0, 0.0, 0.0, 0.0]"
protxlstm,evolution_remote_homology_tape_rh_processed_mean,protxlstm_26M_30B,emb,1.0,200,seed-42,sampling_seed-0,train_loss,"[6.647009372711182, 6.56773548710103, 6.519210056382782, 6.4775691227037075, 6.502930115680305, 6.56131464121293, 6.505969884444256, 6.4539713567616985, 6.541389144196803, 6.4307513334313215, 6.507970488801295, 6.529156188575589, 6.561069274435238, 6.405071365589998, 6.498043712304563, 6.402422252966433, 6.431013486823257]"
protxlstm,evolution_remote_homology_tape_rh_processed_mean,protxlstm_26M_30B,emb,1.0,200,seed-42,sampling_seed-0,val_loss,"[7.065450191497803, 7.068089485168457, 7.089511871337891, 7.083509127298991, 7.0974547068278, 7.076251029968262, 7.08444356918335, 7.118207772572835, 7.084633827209473, 7.112203280131022, 7.108084201812744, 7.065959453582764, 7.072914282480876, 7.124586264292399, 7.115830739339192, 7.0950385729471845, 7.1017255783081055]"
protxlstm,evolution_remote_homology_tape_rh_processed_test-family-holdout_mean,protxlstm_26M_30B,emb,1.0,200,seed-42,sampling_seed-0,test_loss,"[7.184989547729492, 7.213778018951416, 7.205674552917481, 7.25440731048584, 7.2397082328796385, 7.26234188079834, 7.248765182495117, 7.339761352539062, 7.233642482757569, 7.281925392150879, 7.326186752319336, 7.299005031585693, 7.234170436859131, 7.3254646301269535, 7.241205215454102, 7.302175712585449, 7.317898368835449]"
protxlstm,evolution_remote_homology_tape_rh_processed_test-family-holdout_mean,protxlstm_26M_30B,emb,1.0,200,seed-42,sampling_seed-0,test_performance_2,"[0.0, 0.0, 0.0, 0.0, 0.0007861635220125787, 0.0023584905660377358, 0.0007861635220125787, 0.0, 0.0, 0.0, 0.0007861635220125787, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
protxlstm,evolution_remote_homology_tape_rh_processed_test-family-holdout_mean,protxlstm_26M_30B,emb,1.0,200,seed-42,sampling_seed-0,test_performance_1,"[0.0, 0.0007861635220125787, 0.0, 0.003930817610062893, 0.0047169811320754715, 0.007861635220125786, 0.0007861635220125787, 0.009433962264150943, 0.0007861635220125787, 0.0007861635220125787, 0.0031446540880503146, 0.0, 0.0007861635220125787, 0.0, 0.0, 0.0, 0.0007861635220125787]"
protxlstm,evolution_remote_homology_tape_rh_processed_test-superfamily-holdout_mean,protxlstm_26M_30B,emb,1.0,200,seed-42,sampling_seed-0,test_loss,"[7.092498302459717, 7.112062454223633, 7.134035110473633, 7.117737293243408, 7.124077033996582, 7.097883987426758, 7.116110897064209, 7.138978767395019, 7.134422779083252, 7.14102258682251, 7.132168102264404, 7.117592906951904, 7.12166051864624, 7.135865688323975, 7.139215755462646, 7.161576175689698, 7.146299552917481]"
protxlstm,evolution_remote_homology_tape_rh_processed_test-superfamily-holdout_mean,protxlstm_26M_30B,emb,1.0,200,seed-42,sampling_seed-0,test_performance_2,"[0.0, 0.0, 0.0, 0.0, 0.0007974481658692185, 0.001594896331738437, 0.0, 0.0007974481658692185, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001594896331738437, 0.0]"
protxlstm,evolution_remote_homology_tape_rh_processed_test-superfamily-holdout_mean,protxlstm_26M_30B,emb,1.0,200,seed-42,sampling_seed-0,test_performance_1,"[0.0023923444976076554, 0.003189792663476874, 0.003189792663476874, 0.005582137161084529, 0.0023923444976076554, 0.011164274322169059, 0.0007974481658692185, 0.0023923444976076554, 0.0023923444976076554, 0.0007974481658692185, 0.0007974481658692185, 0.003189792663476874, 0.005582137161084529, 0.003987240829346092, 0.003189792663476874, 0.003189792663476874, 0.0007974481658692185]"
protxlstm,evolution_remote_homology_tape_rh_processed_test-fold-holdout_mean,protxlstm_26M_30B,emb,1.0,200,seed-42,sampling_seed-0,test_loss,"[7.17078177134196, 7.227738539377849, 7.250322024027507, 7.297624588012695, 7.277658462524414, 7.229728539784749, 7.2554952303568525, 7.209187348683675, 7.257567723592122, 7.272228876749675, 7.283769130706787, 7.243589083353679, 7.224194526672363, 7.260056336720784, 7.287743886311849, 7.295044422149658, 7.246070226033528]"
protxlstm,evolution_remote_homology_tape_rh_processed_test-fold-holdout_mean,protxlstm_26M_30B,emb,1.0,200,seed-42,sampling_seed-0,test_performance_2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001392757660167131, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
protxlstm,evolution_remote_homology_tape_rh_processed_test-fold-holdout_mean,protxlstm_26M_30B,emb,1.0,200,seed-42,sampling_seed-0,test_performance_1,"[0.0, 0.0, 0.0, 0.001392757660167131, 0.0, 0.002785515320334262, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
